focal_ring,colony.x,orig_absol,new_absol,trueDiff,F_pers,orig_part_pers,new_part_pers
680937,grumant,1.863325228,0.058263465,1.805061763,0.75486907,0.696605605,2.618194298
6126201,grumant,0.263463855,0.689484337,-0.426020482,1.656230632,1.392766777,2.345714969
6126213,grumant,1.225572403,1.054792031,0.170780372,1.195372844,-0.030199559,2.250164875
6126233,grumant,1.104885216,1.101613012,0.003272204,1.23282592,0.696605605,0.127940704
6126233,grumant,0.536220315,1.104885216,-0.568664901,1.23282592,0.127940704,0.131212908
6126239,grumant,0.235102064,0.099133615,0.135968449,2.220430812,2.455532876,2.319564427
6141762,grumant,1.677703073,1.539651252,0.138051821,0.221514085,1.899217158,1.761165337
6141770,grumant,1.104885216,0.757390259,0.347494957,0.127940704,1.23282592,0.885330963
6161669,grumant,1.677703073,1.429592219,0.248110854,1.899217158,0.221514085,0.469624939
6161679,grumant,0.235102064,0.850346944,-0.61524488,2.455532876,2.220430812,1.605185932
6177203,grumant,0.105174842,0.11589524,-0.010720398,2.029800417,1.924625575,2.145695657
6177204,grumant,0.263463855,0.697625243,-0.434161388,1.392766777,1.656230632,2.09039202
6177208,grumant,0.105174842,0.223699821,-0.118524979,1.924625575,2.029800417,2.148325396
6177208,grumant,0.223699821,0.530907301,-0.30720748,1.924625575,2.148325396,2.455532876
6177224,grumant,0.536220315,0.058263465,0.47795685,0.696605605,1.23282592,0.75486907
6177224,grumant,0.058263465,0.689499093,-0.631235628,0.696605605,0.75486907,0.007106512
6234456,pyramiden,0.77980872,0.75272521,0.02708351,0.464629514,1.244438234,1.217354724
6234461,pyramiden,2.240954389,2.200896899,0.04005749,1.437929665,-0.803024724,-0.762967234
6234463,pyramiden,0.84154868,0.701332925,0.140215755,0.036728997,-0.804819683,0.738061922
6234476,pyramiden,1.522271032,1.34142172,0.180849312,-0.588478533,0.933792499,0.752943187
6234506,pyramiden,2.238474836,1.071848266,1.16662657,1.43151938,-0.806955456,0.359671114
6234508,pyramiden,1.799180685,0.011325987,1.787854698,1.247341032,-0.551839653,1.236015045
6234511,pyramiden,1.233897761,1.607974449,-0.374076688,-0.292372112,0.941525649,1.315602337
6234513,pyramiden,1.455736128,1.374380221,0.081355907,-0.050044893,1.405691235,1.324335328
6234515,pyramiden,1.39310984,0.123211702,1.269898138,1.443180535,0.050070695,1.319968833
6234529,pyramiden,0.319794875,0.385628538,-0.065833663,0.679465989,0.359671114,1.065094527
6234606,pyramiden,0.017465982,0.265749304,-0.248283322,1.534336935,1.516870953,1.800086239
6234702,pyramiden,0.391494311,0.559127591,,-0.868116761,-0.47662245,-0.30898917
6234702,pyramiden,1.197890456,0.391494311,0.638762865,-0.868116761,0.329773695,-0.47662245
6234767,pyramiden,0.078380706,0.60395143,,1.244438234,1.166057528,0.640486804
6234767,pyramiden,0.77980872,0.078380706,0.17585729,1.244438234,0.464629514,1.166057528
6234769,pyramiden,0.26935066,0.75272521,-0.48337455,1.217354724,0.948004064,0.464629514
6234772,pyramiden,1.736393264,2.594129645,,1.40423917,-0.332154094,-1.189890475
6234772,pyramiden,2.219927617,1.736393264,,1.40423917,-0.815688447,-0.332154094
6234780,pyramiden,1.467512714,0.701332925,0.766179789,0.738061922,-0.729450792,0.036728997
6234782,pyramiden,0.319794875,1.071848266,-0.752053391,0.359671114,0.679465989,1.43151938
6234792,pyramiden,0.866992959,2.013216537,-1.146223578,1.467566949,0.60057399,-0.545649588
6234795,pyramiden,1.455736128,0.207046353,,1.405691235,-0.050044893,1.612737588
6234795,pyramiden,0.207046353,0.859476875,,1.405691235,1.612737588,0.54621436
