male_ring,female_ring,colony,pair_ID,cycle_pair,year,nest,chick_sur,season_outcome,ulti_outcome,missed_seasons,male_next_season_sur,female_next_season_sur,male_pers,female_pers,absol
680901,6161667,grumant,680901_6161667,2010_680901_6161667,2010,H#0003,0,0,0,0,1,1,NA,2.09039202,NA
680901,6161667,grumant,680901_6161667,2011_680901_6161667,2011,H#0002,1,0,0,0,0,0,NA,2.09039202,NA
680901,6161667,grumant,680901_6161667,2012_680901_6161667,2012,H#0003,0,0,0,0,0,0,NA,2.09039202,NA
680901,6161667,grumant,680901_6161667,2013_680901_6161667,2013,H#0003,0,1,1,0,NA,0,NA,2.09039202,NA
680905,6177225,grumant,680905_6177225,2010_680905_6177225,2010,I#0004,1,NA,1,1,NA,NA,NA,NA,NA
680905,6126202,grumant,680905_6126202,2012_680905_6126202,2012,I#0004,0,NA,1,1,NA,NA,NA,NA,NA
680905,6126047,grumant,680905_6126047,2014_680905_6126047,2014,I#0004,0,NA,NA,NA,NA,NA,NA,NA,NA
680910,6162462,grumant,680910_6162462,2012_680910_6162462,2012,L#0005,1,NA,1,1,NA,NA,NA,NA,NA
680910,6126233,grumant,680910_6126233,2014_680910_6126233,2014,L#0005,0,0,0,0,1,1,NA,1.23282592,NA
680910,6126233,grumant,680910_6126233,2015_680910_6126233,2015,L#0005,1,1,1,0,NA,0,NA,1.23282592,NA
680934,680939,grumant,680934_680939,2010_680934_680939,2010,K#0002,0,0,0,0,1,1,NA,0.023294601,NA
680934,680939,grumant,680934_680939,2011_680934_680939,2011,K#0002,1,NA,1,2,NA,NA,NA,0.023294601,NA
680938,680937,grumant,680938_680937,2010_680938_680937,2010,N#0001,1,0,0,0,1,1,NA,0.75486907,NA
680938,680937,grumant,680938_680937,2011_680938_680937,2011,N#0001,1,0,0,0,1,1,NA,0.75486907,NA
680938,680937,grumant,680938_680937,2012_680938_680937,2012,N#0001,1,NA,1,1,NA,NA,NA,0.75486907,NA
680940,680936,grumant,680940_680936,2010_680940_680936,2010,I#0003,1,0,0,1,NA,NA,NA,0.055706465,NA
680940,680936,grumant,680940_680936,2012_680940_680936,2012,I#0003,1,NA,1,1,NA,NA,NA,0.055706465,NA
680942,680932,grumant,680942_680932,2013_680942_680932,2013,M#0001,0,1,1,0,NA,0,NA,1.6661128,NA
680944,680909,grumant,680944_680909,2010_680944_680909,2010,I#0002,1,1,1,0,NA,1,NA,NA,NA
680944,6126045,grumant,680944_6126045,2014_680944_6126045,2014,I#0002,0,NA,NA,NA,NA,NA,NA,NA,NA
680946,6126012,grumant,680946_6126012,2013_680946_6126012,2013,L#0001,0,1,1,0,NA,0,NA,NA,NA
680948,680906,grumant,680948_680906,2010_680948_680906,2010,I#0001,1,0,0,0,0,0,NA,NA,NA
680948,680906,grumant,680948_680906,2011_680948_680906,2011,I#0001,0,1,1,0,1,NA,NA,NA,NA
680948,6146952,grumant,680948_6146952,2012_680948_6146952,2012,I#0001,1,NA,1,1,NA,NA,NA,1.120805499,NA
680949,6161679,grumant,680949_6161679,2010_680949_6161679,2010,L#0003,1,0,0,1,NA,NA,NA,2.455532876,NA
680949,6161679,grumant,680949_6161679,2012_680949_6161679,2012,L#0004,0,0,0,0,0,0,NA,2.455532876,NA
680949,6161679,grumant,680949_6161679,2013_680949_6161679,2013,L#0004,0,1,1,0,NA,0,NA,2.455532876,NA
6126003,6126050,grumant,6126003_6126050,2012_6126003_6126050,2012,D#0001,0,NA,1,1,NA,NA,NA,NA,NA
6126003,6126215,grumant,6126003_6126215,2014_6126003_6126215,2014,D#0001,0,0,0,0,0,0,NA,2.319564427,NA
6126003,6126215,grumant,6126003_6126215,2015_6126003_6126215,2015,D#0001,0,NA,1,1,NA,NA,NA,2.319564427,NA
6126004,6126019,grumant,6126004_6126019,2011_6126004_6126019,2011,E#0001,0,NA,NA,NA,NA,NA,NA,NA,NA
6126005,6126018,grumant,6126005_6126018,2011_6126005_6126018,2011,E#0002,0,NA,NA,NA,NA,NA,NA,NA,NA
6126009,6126010,grumant,6126009_6126010,2011_6126009_6126010,2011,F#0003,0,NA,NA,NA,NA,NA,NA,NA,NA
6126011,680932,grumant,6126011_680932,2014_6126011_680932,2014,M#0001,0,0,0,1,NA,NA,NA,1.6661128,NA
6126011,680932,grumant,6126011_680932,2016_6126011_680932,2016,M#0001,1,1,1,0,NA,0,NA,1.6661128,NA
6126015,6126047,grumant,6126015_6126047,2012_6126015_6126047,2012,B#0002,0,NA,1,1,NA,NA,-0.040466789,NA,NA
6126015,6141786,grumant,6126015_6141786,2016_6126015_6141786,2016,I#0002,1,1,1,0,0,NA,-0.040466789,NA,NA
6126015,6161673,grumant,6126015_6161673,2017_6126015_6161673,2017,I#0002,0,NA,NA,NA,NA,NA,-0.040466789,0.533389295,0.573856084
6126040,6126223,grumant,6126040_6126223,2014_6126040_6126223,2014,J#0004,0,0,0,0,0,0,1.874887583,-0.035841492,1.910729075
6126040,6126223,grumant,6126040_6126223,2015_6126040_6126223,2015,J#0004,0,0,0,0,1,1,1.874887583,-0.035841492,1.910729075
6126040,6126223,grumant,6126040_6126223,2016_6126040_6126223,2016,J#0004,1,0,0,0,0,0,1.874887583,-0.035841492,1.910729075
6126040,6126223,grumant,6126040_6126223,2017_6126040_6126223,2017,J#0004,0,NA,NA,NA,NA,NA,1.874887583,-0.035841492,1.910729075
