ring,sex,colony,pair_ID,cycle_pair,year_t,season_outcome,next_season,season_tru
680901,M,grumant,680901_6161667,2010_680901_6161667,2010,0,1,0
680901,M,grumant,680901_6161667,2011_680901_6161667,2011,0,0,0
680901,M,grumant,680901_6161667,2012_680901_6161667,2012,0,0,0
680901,M,grumant,680901_6161667,2013_680901_6161667,2013,1,NA,NA
680905,M,grumant,680905_6177225,2010_680905_6177225,2010,NA,NA,NA
680905,M,grumant,680905_6126202,2012_680905_6126202,2012,NA,NA,NA
680905,M,grumant,680905_6126047,2014_680905_6126047,2014,NA,NA,NA
680910,M,grumant,680910_6162462,2012_680910_6162462,2012,NA,NA,NA
680910,M,grumant,680910_6126233,2014_680910_6126233,2014,0,1,0
680910,M,grumant,680910_6126233,2015_680910_6126233,2015,1,NA,NA
680934,M,grumant,680934_680939,2010_680934_680939,2010,0,1,0
680934,M,grumant,680934_680939,2011_680934_680939,2011,NA,NA,NA
680938,M,grumant,680938_680937,2010_680938_680937,2010,0,1,0
680938,M,grumant,680938_680937,2011_680938_680937,2011,0,1,0
680938,M,grumant,680938_680937,2012_680938_680937,2012,NA,NA,NA
680940,M,grumant,680940_680936,2010_680940_680936,2010,0,NA,0
680940,M,grumant,680940_680936,2012_680940_680936,2012,NA,NA,NA
680942,M,grumant,680942_680932,2013_680942_680932,2013,1,NA,1
680944,M,grumant,680944_680909,2010_680944_680909,2010,1,NA,1
680944,M,grumant,680944_6126045,2014_680944_6126045,2014,NA,NA,NA
680946,M,grumant,680946_6126012,2013_680946_6126012,2013,1,NA,NA
680948,M,grumant,680948_680906,2010_680948_680906,2010,0,0,0
680948,M,grumant,680948_680906,2011_680948_680906,2011,1,1,1
680948,M,grumant,680948_6146952,2012_680948_6146952,2012,NA,NA,NA
680949,M,grumant,680949_6161679,2010_680949_6161679,2010,0,NA,0
680949,M,grumant,680949_6161679,2012_680949_6161679,2012,0,0,0
680949,M,grumant,680949_6161679,2013_680949_6161679,2013,1,NA,NA
6126003,M,grumant,6126003_6126050,2012_6126003_6126050,2012,NA,NA,NA
6126003,M,grumant,6126003_6126215,2014_6126003_6126215,2014,0,0,0
6126003,M,grumant,6126003_6126215,2015_6126003_6126215,2015,NA,NA,NA
6126004,M,grumant,6126004_6126019,2011_6126004_6126019,2011,NA,NA,NA
6126005,M,grumant,6126005_6126018,2011_6126005_6126018,2011,NA,NA,NA
6126009,M,grumant,6126009_6126010,2011_6126009_6126010,2011,NA,NA,NA
6126011,M,grumant,6126011_680932,2014_6126011_680932,2014,0,NA,0
6126011,M,grumant,6126011_680932,2016_6126011_680932,2016,1,NA,NA
6126015,M,grumant,6126015_6126047,2012_6126015_6126047,2012,NA,NA,NA
6126015,M,grumant,6126015_6141786,2016_6126015_6141786,2016,1,0,1
6126015,M,grumant,6126015_6161673,2017_6126015_6161673,2017,NA,NA,NA
6126040,M,grumant,6126040_6126223,2014_6126040_6126223,2014,0,0,0
6126040,M,grumant,6126040_6126223,2015_6126040_6126223,2015,0,1,0
6126040,M,grumant,6126040_6126223,2016_6126040_6126223,2016,0,0,0
6126040,M,grumant,6126040_6126223,2017_6126040_6126223,2017,NA,NA,NA
6126044,M,grumant,6126044_6126033,2017_6126044_6126033,2017,NA,NA,NA
6126203,M,grumant,6126203_6126204,2011_6126203_6126204,2011,1,NA,NA
6126206,M,grumant,6126206_6146961,2012_6126206_6146961,2012,NA,NA,NA
6126207,M,grumant,6126207_6126205,2012_6126207_6126205,2012,NA,NA,NA
6126207,M,grumant,6126207_6141769,2015_6126207_6141769,2015,NA,NA,NA
6126210,M,grumant,6126210_6126236,2015_6126210_6126236,2015,1,NA,1
6126212,M,grumant,6126212_6126214,2012_6126212_6126214,2012,NA,NA,NA
6126213,M,grumant,6126213_6126048,2012_6126213_6126048,2012,NA,NA,NA
6126213,M,grumant,6126213_6126220,2014_6126213_6126220,2014,1,NA,1
6126213,M,grumant,6126213_6126236,2016_6126213_6126236,2016,0,0,0
6126213,M,grumant,6126213_6126236,2017_6126213_6126236,2017,NA,NA,NA
6126216,M,grumant,6126216_6177247,2012_6126216_6177247,2012,NA,NA,NA
6126217,M,grumant,6126217_6126204,2012_6126217_6126204,2012,NA,NA,NA
6126218,M,grumant,6126218_6126045,2012_6126218_6126045,2012,1,NA,NA
6126227,M,grumant,6126227_6126223,2012_6126227_6126223,2012,NA,NA,NA
6126229,M,grumant,6126229_6126222,2012_6126229_6126222,2012,NA,NA,NA
6126235,M,grumant,6126235_680932,2012_6126235_680932,2012,1,NA,NA
6126238,M,grumant,6126238_6126241,2014_6126238_6126241,2014,NA,NA,NA
6126238,M,grumant,6126238_6177208,2018_g_6126238_6177208,2018_g,NA,NA,NA
6126239,M,grumant,6126239_6161679,2014_6126239_6161679,2014,0,1,0
6126239,M,grumant,6126239_6161679,2015_6126239_6161679,2015,0,1,0
